# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
1.604414733571240000e+14 2.213900710825443268e+06 -6.944795539937500000e+09 -5.475866893851562500e+09 2.159122041106316261e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.746228061758640000e+14 2.231150149905920029e+06 -7.386030369515625000e+09 -5.854453693742187500e+09 2.176665824521858245e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.897186157062880000e+14 2.248644282318353653e+06 -7.847015748656250000e+09 -6.251556492445312500e+09 2.194454896040739026e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.057667236475160000e+14 2.266381831723690033e+06 -8.328266595859375000e+09 -6.667695739148437500e+09 2.212487971844819374e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.228056464952960000e+14 2.284357961095809937e+06 -8.830294554500000000e+09 -7.103388700039062500e+09 2.230760066147545353e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.408746043209320000e+14 2.302573732047080994e+06 -9.353664683281250000e+09 -7.559206096710937500e+09 2.249272329881365877e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.600134947312680000e+14 2.321022544831037521e+06 -9.898854566500000000e+09 -8.035631244000000000e+09 2.268017948242499959e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.802629187141120000e+14 2.339708147062540054e+06 -1.046649555300000000e+10 -8.533301271132812500e+09 2.287000867654968519e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.016641337355560000e+14 2.358621787455558777e+06 -1.105701986159375000e+10 -9.052654238109375000e+09 2.306212040493457578e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.242591036015280000e+14 2.377769882983207703e+06 -1.167113437575000000e+10 -9.594402918906250000e+09 2.325658190164705273e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.480904242903440000e+14 2.397141521270394325e+06 -1.230922597468750000e+10 -1.015894013242187500e+10 2.345328027025866322e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.732014027790960000e+14 2.416745028408288956e+06 -1.297206583431250000e+10 -1.074704303432812500e+10 2.365230259846187662e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.996359539213520000e+14 2.436568135716915131e+06 -1.366002970323437500e+10 -1.135909342357812500e+10 2.385352193990876898e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
